datetime,feelslike,dew,humidity,precip,precipcover,windspeed,cloudcover,clear-day,partly-cloudy-day,rain,arrivals
2019-09-28,22.3,16.1,70.55,0.0,0.0,14.8,13.3,1,0,0,8.0
2019-09-29,22.6,17.0,73.52,0.0,0.0,12.9,8.5,1,0,0,3.0
2019-09-30,22.2,17.1,75.65,0.0,0.0,13.4,27.2,0,1,0,2.0
2019-10-01,22.3,17.0,74.75,0.0,0.0,14.5,18.6,1,0,0,5.0
2019-10-02,21.9,16.7,74.42,0.0,0.0,17.1,29.9,0,1,0,8.0
2019-10-03,20.1,17.3,84.16,31.77,16.67,26.4,56.3,0,0,1,2.0
2019-10-04,18.9,15.6,82.66,45.45,16.67,22.9,50.1,0,0,1,5.0
2019-10-05,19.2,11.9,64.26,0.0,0.0,18.6,44.4,0,1,0,2.0
2019-10-06,19.6,13.9,71.03,0.1,4.17,16.2,45.4,0,0,1,12.0
2019-10-07,17.9,14.3,80.05,0.69,4.17,9.9,53.5,0,0,1,0.0
2019-10-08,20.8,13.0,62.65,1.35,8.33,12.6,42.1,0,0,1,6.0
2019-10-09,19.8,14.0,71.51,0.0,0.0,11.5,17.3,1,0,0,5.0
2019-10-10,18.9,16.4,85.89,5.56,8.33,13.4,31.7,0,0,1,2.0
2019-10-11,21.1,18.0,83.82,0.2,4.17,13.3,39.7,0,0,1,4.0
2019-10-12,21.6,17.3,78.68,0.0,0.0,11.0,20.9,0,1,0,0.0
2019-10-13,20.8,16.6,79.38,0.0,0.0,9.9,11.0,1,0,0,4.0
2019-10-14,20.7,17.0,81.59,0.0,0.0,12.0,22.5,0,1,0,5.0
2019-10-15,20.3,17.2,83.75,0.0,0.0,11.6,28.7,0,1,0,3.0
2019-10-16,19.9,16.5,82.35,0.0,0.0,10.9,24.2,0,1,0,0.0
2019-10-17,20.3,16.9,82.2,0.0,0.0,16.2,32.8,0,1,0,3.0
2019-10-18,19.5,15.8,80.88,0.0,0.0,12.9,29.0,0,1,0,1.0
2019-10-19,18.7,14.9,79.89,0.0,0.0,10.1,25.6,0,1,0,2.0
2019-10-20,19.3,15.6,80.65,0.0,0.0,12.6,19.9,1,0,0,1.0
2019-10-21,19.6,15.7,80.1,0.0,0.0,7.8,7.1,1,0,0,0.0
2019-10-22,19.7,14.1,73.41,0.0,0.0,12.7,5.0,1,0,0,2.0
2019-10-23,20.4,12.1,61.72,0.0,0.0,9.1,0.0,1,0,0,2.0
2019-10-24,18.6,11.8,67.38,0.0,0.0,11.5,0.0,1,0,0,0.0
2019-10-25,17.2,12.1,75.08,0.0,0.0,9.7,0.8,1,0,0,1.0
2019-10-26,17.4,12.5,75.66,0.0,0.0,8.0,6.8,1,0,0,1.0
2019-10-27,17.2,12.1,75.28,0.0,0.0,9.8,0.0,1,0,0,1.0
2019-10-28,16.7,12.5,78.86,0.0,0.0,9.3,7.6,1,0,0,1.0
2019-10-29,16.6,12.7,79.93,0.0,0.0,12.9,14.1,1,0,0,1.0
2019-10-30,15.8,13.9,88.84,7.95,8.33,14.8,44.2,0,0,1,1.0
